iter	RMSE
175	16086.14189
176	16058.76868
177	16006.81632
178	15976.75251
179	15929.60324
180	15892.99888
181	15869.35476
182	15850.14033
183	15808.82701
184	15792.62939
185	15752.71983
186	15728.69862
187	15685.18203
188	15648.00647
189	15615.15374
190	15570.18159
191	15513.23371
192	15465.6334
193	15438.14393
194	15395.49308
195	15360.61975
196	15302.30841
197	15262.79753
198	15223.63226
199	15219.52411
200	15216.07141
201	15189.77774
202	15157.42498
203	15116.56209
204	15070.28039
205	15064.15129
206	15061.00206
207	15057.99095
208	15028.50216
209	14994.04081
210	14962.84497
211	14960.02367
212	14940.43151
213	14923.41151
214	14888.23116
215	14859.39315
216	14804.68769
217	14784.41644
218	14736.5322
219	14707.40467
220	14675.79877
221	14650.46968
222	14619.65232
223	14584.35558
224	14548.61099
225	14499.96262
226	14487.60183
227	14453.76922
228	14422.07647
229	14379.21227
230	14346.29892
231	14319.17329
232	14297.59713
233	14265.57575
234	14255.67504
235	14237.33516
236	14204.7838
237	14181.05949
238	14150.75009
239	14120.58715
240	14080.8344
241	14047.98275
242	14021.26687
243	13972.28341
244	13936.6453
245	13926.55903
246	13894.98013
247	13881.54891
248	13877.66545
249	13868.55999
250	13837.87614
251	13813.59793
252	13771.8509
253	13768.28568
254	13731.38323
255	13701.77859
256	13698.1863
257	13656.64527
258	13649.83691
259	13621.27098
260	13580.91089
261	13562.78522
262	13549.1977
263	13532.93703
264	13503.56578
265	13491.65312
266	13469.94883
267	13445.83917
268	13398.3955
269	13366.73406
270	13327.38397
271	13301.27637
272	13270.06419
273	13230.1858
274	13206.0928
275	13174.63702
276	13142.04704
277	13105.27718
278	13065.62776
279	13045.99878
280	13022.77205
281	13008.98195
282	12987.62479
283	12966.45803
284	12945.82498
285	12932.67972
286	12905.34602
287	12874.48276
288	12850.4983
289	12832.07891
290	12819.95655
291	12788.2645
292	12784.81531
293	12758.03116
294	12732.91003
295	12715.14367
296	12705.64356
297	12684.14958
298	12665.00107
299	12644.09784
300	12616.60225
301	12601.87335
302	12572.20931
303	12551.04334
304	12535.02845
305	12488.45481
306	12451.39976
307	12410.21432
308	12403.89087
309	12381.68908
310	12351.58766
311	12338.52333
312	12322.31824
313	12303.27245
314	12271.17343
315	12252.71294
316	12234.02155
317	12217.55063
318	12196.41762
319	12184.74001
320	12167.31669
321	12162.79097
322	12147.26006
323	12132.7909
324	12119.47057
325	12089.5025
326	12061.68471
327	12047.10879
328	12021.84789
329	12017.98517
330	12014.68356
331	12000.0981
332	11972.1278
333	11958.86523
334	11938.9854
335	11912.42367
336	11899.64253
337	11868.70485
338	11847.56534
339	11836.9963
340	11814.20487
341	11802.94677
342	11786.32234
343	11762.39445
344	11737.62222
345	11723.61917
346	11696.86129
347	11680.43794
348	11665.29583
349	11647.92215
350	11630.32815
351	11607.26179
352	11584.31218
353	11573.7859
354	11551.60796
355	11534.97245
356	11523.92905
357	11522.28843
358	11493.94717
359	11479.31685
360	11454.73365
361	11444.30083
362	11442.81367
363	11426.49536
364	11400.60537
365	11385.11453
366	11373.69779
367	11359.96545
368	11343.23467
369	11324.61374
370	11321.88823
371	11305.5476
372	11302.75117
373	11297.3895
374	11282.01654
375	11262.06174
376	11260.58754
377	11248.7846
378	11233.14955
379	11212.03702
380	11192.84091
381	11170.10867
382	11153.53333
383	11129.88134
384	11128.24043
385	11109.87374
386	11098.53884
387	11069.83687
388	11059.53009
389	11033.46131
390	11030.39409
391	11018.73882
392	11002.81217
393	10986.9452
394	10976.17342
395	10963.4463
396	10961.98683
397	10943.69241
398	10924.07396
399	10892.8133
400	10870.26603
401	10852.39449
402	10834.23312
403	10823.11812
404	10815.20147
405	10790.8067
406	10770.14679
407	10754.74012
408	10735.45459
409	10716.96437
410	10703.99283
411	10682.62455
412	10677.2001
413	10660.82903
414	10634.69087
415	10611.47082
416	10590.94067
417	10578.71358
418	10563.56419
419	10558.09899
420	10555.0965
421	10535.3423
422	10516.97375
423	10503.18388
424	10493.80947
425	10473.32324
426	10458.02595
427	10445.53176
428	10423.02521
429	10420.79173
430	10417.83044
431	10395.93821
432	10382.82342
433	10374.24259
434	10359.19579
435	10349.56086
436	10331.90352
437	10313.52449
438	10296.63911
439	10289.57319
440	10280.10874
441	10264.7519
442	10247.02359
443	10230.38091
444	10220.38816
445	10202.69959
446	10200.16893
447	10174.21915
448	10150.16756
449	10134.45598
450	10115.18281
451	10105.58907
452	10096.05434
453	10072.94911
454	10067.31235
455	10048.0277
456	10028.14655
457	10026.25845
458	10025.52865
459	10005.18689
460	9979.738043
461	9978.435198
462	9960.429442
463	9945.28794
464	9935.00512
465	9914.565121
466	9903.530613
467	9882.52242
468	9876.76536
469	9858.067317
470	9839.561269
471	9822.412403
472	9816.714337
473	9815.284952
474	9802.840963
475	9801.956624
476	9788.521595
477	9782.029132
478	9781.056398
479	9766.105868
480	9758.079555
481	9757.26983
482	9755.587949
483	9746.06312
484	9735.583987
485	9720.843953
486	9705.014834
487	9696.165016
488	9689.854823
489	9684.488601
490	9668.919956
491	9651.487646
492	9633.298295
493	9612.732895
494	9600.700725
495	9576.387927
496	9554.5018
497	9541.841342
498	9530.598734
499	9516.855197
500	9508.807486
501	9487.297266
502	9459.099074
503	9443.276099
504	9430.872097
505	9421.578171
506	9405.626159
507	9397.327221
508	9385.598381
509	9370.644534
510	9354.790256
511	9338.727984
512	9325.826883
513	9314.791404
514	9299.119518
515	9284.967852
516	9281.549637
517	9266.890344
518	9266.123459
519	9250.375391
520	9240.497397
521	9226.09873
522	9214.70519
523	9205.909967
524	9194.640398
525	9174.129469
526	9159.173049
527	9144.177922
528	9131.561637
529	9113.090237
530	9095.434221
531	9079.216576
532	9066.131581
533	9055.82664
534	9048.728052
535	9045.954274
536	9018.329433
537	9011.494081
538	9006.139229
539	9000.933616
540	8986.367355
541	8962.037797
542	8950.685207
543	8937.252786
544	8923.718444
545	8914.729291
546	8904.959821
547	8894.293635
548	8888.138905
549	8880.106432
550	8859.954115
551	8842.059524
552	8834.408907
553	8824.396924
554	8808.369356
555	8794.726167
556	8782.149318
557	8773.987256
558	8761.302613
559	8748.908167
560	8727.586934
561	8713.702218
562	8701.198641
563	8694.561761
564	8684.22259
565	8670.344754
566	8665.250314
567	8655.762951
568	8646.312202
569	8641.476132
570	8640.389439
571	8618.533614
572	8606.087777
573	8593.72169
574	8574.889445
575	8574.329002
576	8567.426583
577	8553.972041
578	8552.767982
579	8541.158334
580	8532.433729
581	8521.695746
582	8510.538674
583	8497.095099
584	8486.083917
585	8472.186148
586	8467.390727
587	8442.484241
588	8431.756537
589	8417.445309
590	8401.297539
591	8396.458326
592	8386.857615
593	8380.284276
594	8379.37817
595	8370.139894
596	8360.216264
597	8357.119519
598	8350.61323
599	8346.623464
600	8338.310679
601	8332.324435
602	8318.498286
603	8309.836024
604	8296.417854
605	8287.719875
606	8283.672241
607	8268.952945
608	8252.021763
609	8243.563293
610	8239.116243
611	8233.272081
612	8224.932617
613	8222.47615
614	8213.350624
615	8202.395761
616	8195.573469
617	8187.922752
618	8182.687797
619	8167.471312
620	8163.368709
621	8152.265428
622	8135.263836
623	8123.410943
624	8109.956233
625	8100.428477
626	8096.281187
627	8077.092984
628	8068.065523
629	8055.305236
630	8034.917291
631	8028.493722
632	8022.026788
633	8016.938361
634	8006.571143
635	7998.740234
636	7993.608303
637	7984.691331
638	7971.271621
639	7963.465771
640	7955.772671
641	7949.383606
642	7938.603285
643	7930.88235
644	7919.889918
645	7902.191138
646	7888.164566
647	7883.485775
648	7867.544558
649	7854.793193
650	7840.928133
651	7830.668698
652	7825.207201
653	7815.546016
654	7805.82536
655	7796.13821
656	7787.243295
657	7778.03574
658	7770.765826
659	7762.423436
660	7754.498065
661	7746.244548
662	7733.621912
663	7725.866498
664	7718.121402
665	7717.667706
666	7703.136329
667	7693.98354
668	7692.315552
669	7683.861419
670	7680.490806
671	7676.311945
672	7666.947118
673	7658.070083
674	7649.399453
675	7637.411338
676	7636.543819
677	7630.740404
678	7621.912443
679	7615.153502
680	7610.132995
681	7602.630234
682	7596.684079
683	7584.07546
684	7577.212386
685	7571.666261
686	7564.843506
687	7555.335495
688	7542.392229
689	7533.925512
690	7530.659844
691	7524.237609
692	7515.085406
693	7510.146936
694	7504.783047
695	7494.301894
696	7489.058532
697	7477.663516
698	7463.341269
699	7457.381496
700	7447.053676
701	7442.464826
702	7435.526904
703	7433.724706
704	7431.29922
705	7425.389777
706	7412.883476
707	7405.159195
708	7399.946712
709	7393.125671
710	7381.040996
711	7376.087996
712	7362.578927
713	7347.082916
714	7344.349697
715	7338.787685
716	7333.071337
717	7323.436514
718	7316.664807
719	7310.166871
720	7299.585265
721	7289.158521
722	7284.017034
723	7273.464137
724	7262.269006
725	7252.222203
726	7245.48134
727	7240.418458
728	7233.152099
729	7224.452464
730	7216.422785
731	7210.49623
732	7196.310418
733	7182.369593
734	7174.427054
735	7169.168537
736	7163.07223
737	7151.811349
738	7138.428054
739	7122.898333
740	7115.440619
741	7112.479261
742	7111.959211
743	7102.202254
744	7099.695438
745	7098.50448
746	7084.171069
747	7081.028182
748	7072.266336
749	7064.123434
750	7063.718802
751	7056.810431
752	7050.491881
753	7044.640436
754	7041.541248
755	7031.305142
756	7024.927698
757	7017.321428
758	7013.382549
759	7008.037376
760	6991.836988
761	6988.466735
762	6987.568766
763	6984.933198
764	6978.963093
765	6969.341385
766	6968.747305
767	6961.746854
768	6958.436836
769	6957.797698
770	6952.011729
771	6941.661777
772	6932.387756
773	6928.627032
774	6928.166472
775	6922.022043
776	6917.143011
777	6904.766991
778	6904.299782
779	6902.561231
780	6894.954943
781	6892.127667
782	6885.90134
783	6877.923025
784	6871.281161
785	6870.918763
786	6862.193588
787	6847.591993
788	6844.140473
789	6837.654143
790	6837.299469
791	6830.685071
792	6829.195975
793	6821.098466
794	6812.671227
795	6802.39982
796	6791.715264
797	6783.837424
798	6778.839935
799	6770.284089
800	6767.850062
801	6767.301804
802	6765.868445
803	6750.495333
804	6745.031212
805	6741.389865
806	6731.386304
807	6719.750388
808	6708.012705
809	6697.038704
810	6691.967318
811	6691.317031
812	6686.669441
813	6674.309778
814	6668.936695
815	6660.815596
816	6659.704503
817	6655.637811
818	6641.661345
819	6631.709211
820	6618.923027
821	6613.227176
822	6603.888422
823	6595.877761
824	6587.446513
825	6580.410632
826	6570.931682
827	6564.019679
828	6556.44828
829	6555.238731
830	6548.385621
831	6547.875481
832	6544.70824
833	6539.306202
834	6535.920688
835	6533.988308
836	6532.737829
837	6522.845426
838	6512.926867
839	6509.412414
840	6507.190745
841	6501.461946
842	6494.465605
843	6484.66823
844	6482.678319
845	6477.083472
846	6469.382243
847	6462.282267
848	6452.13347
849	6443.205665
850	6435.251262
851	6429.78051
852	6422.363771
853	6413.226882
854	6405.327285
855	6401.593724
856	6389.692574
857	6382.466991
858	6374.702484
859	6368.431945
860	6358.562417
861	6351.963363
862	6344.311242
863	6338.424909
864	6331.16791
865	6326.439645
866	6320.727653
867	6316.103088
868	6309.35243
869	6301.851786
870	6300.192504
871	6298.31261
872	6291.707281
873	6278.733014
874	6272.429035
875	6264.324356
876	6258.748037
877	6253.777598
878	6248.421109
879	6241.499809
880	6239.460438
881	6235.098495
882	6231.984065
883	6228.655434
884	6228.326409
885	6224.522919
886	6218.486144
887	6213.303608
888	6204.6809
889	6203.823603
890	6201.92392
891	6197.371769
892	6187.168651
893	6182.086818
894	6176.1764
895	6167.860824
896	6167.395322
897	6156.451257
898	6148.423659
899	6142.608972
900	6130.746151
901	6129.240783
902	6127.406055
903	6121.207828
904	6116.894643
905	6108.512754
906	6106.406571
907	6099.974221
908	6099.199496
909	6090.258002
910	6089.790762
911	6075.693498
912	6070.424786
913	6068.94944
914	6068.52202
915	6061.492935
916	6055.220928
917	6053.7023
918	6048.851518
919	6045.644715
920	6036.52079
921	6032.355682
922	6025.90156
923	6017.951493
924	6009.461455
925	6006.235444
926	5995.463371
927	5987.683399
928	5987.381047
929	5983.884806
930	5983.558685
931	5975.167241
932	5966.355291
933	5953.274553
934	5947.521845
935	5941.854133
936	5936.702499
937	5932.592065
938	5926.287255
939	5917.29965
940	5912.488845
941	5910.35498
942	5903.288314
943	5894.598302
944	5889.131096
945	5884.022734
946	5879.035109
947	5874.921495
948	5868.401453
949	5859.63076
950	5852.930578
951	5844.159443
952	5836.426638
953	5831.197746
954	5823.524979
955	5818.119699
956	5813.029117
957	5811.002707
958	5802.821415
959	5795.139165
960	5785.672629
961	5782.422782
962	5773.527665
963	5768.630627
964	5764.936061
965	5753.655396
966	5743.473506
967	5741.708762
968	5733.985161
969	5730.716217
970	5724.74922
971	5716.634419
972	5711.586661
973	5710.592746
974	5706.572234
975	5697.679261
976	5691.810187
977	5687.369513
978	5682.535767
979	5677.180585
980	5676.713487
981	5670.40022
982	5661.570902
983	5653.080106
984	5650.421387
985	5646.258775
986	5645.858715
987	5641.867917
988	5636.935394
989	5632.506125
990	5627.852194
991	5619.451963
992	5613.577845
993	5608.913432
994	5601.830343
995	5593.955195
996	5593.804316
997	5586.311295
998	5586.018285
999	5578.761578
